spellheaders,IdKey,Name,Desc,UnlockTier,BaseCost,TierCost,CombatActionId,RoleScalingTypeId,AttackQuantityScale,MinRange,MaxRange,TargetTypeId,ItemEnchantWeight
effectheaders,EntityTypeId,EntityId,WeaponDamageScale,StatBonusDamageScale,ProcChance,,ElementTypeId,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Physical Skills,,,,,,,,,,,,,
spell,1,Attack,Melee attack one or more enemies.,1,0,0,attack,melee,1,0,10,enemy,0
effect,attack,1,1,1,100,,melee,,,,,,
spell,2,Shoot,Attack one or more enemies that are out of melee range.,1,0,0,shoot,ranged,1,20,100,enemy,0
effect,shoot,2,1,1,100,,ranged,,,,,,
spell,3,Defend,Take half damage this turn if you get hit.,1,0,0,defend,melee,1,0,100,self,0
spell,4,Hide,Meld into the shadows to allow next single target ability to crit.,3,0,0,hide,ranged,1,0,100,self,0
spell,5,Charge,Passive buff to move the party forward more when advancing.,1,0,0,cast,melee,1,0,100,self,0
spell,6,Pummel,Extra powerful set of melee attacks.,2,5,2,attack,melee,2,0,10,enemy,0
effect,attack,1,1,1,100,,melee,,,,,,
spell,7,Rapid Fire,Shoot a handful of arrows at enemies.,2,5,2,shoot,ranged,2,20,100,enemy,0
effect,shoot,2,1,1,100,,ranged,,,,,,
spell,8,Bladestorm,Hit all enemies in a group with half the normal number of attacks.,3,20,5,attack,melee,0.5,0,10,oneenemygroup,0
effect,attack,1,1,1,100,,melee,,,,,,
spell,9,Multishot,Hit all enemies out of melee range with half as many attacks as usual.,3,20,5,shoot,ranged,0.5,20,100,oneenemygroup,0
effect,shoot,2,1,1,100,,ranged,,,,,,
spell,10,Whirlwind,Hit all enemies in melee range with half as many attacks as usual.,4,50,10,attack,melee,0.5,0,10,allenemies,0
effect,attack,1,1,1,100,,melee,,,,,,
spell,11,Volley,Hit all enemies out of melee range with half as many attacks as usual.,4,50,10,shoot,ranged,0.5,20,100,allenemies,0
effect,shoot,2,1,1,100,,ranged,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Healing/Cures,,,,,,,,,,,,,
spell,20,Heal Wounds,Heal the wounds of an ally.,1,5,2,cast,healing,1,0,100,ally,1
effect,healing,0,1,1,1,,light,,,,,,
spell,21,Heal Party,Heal the wounds of all allies.,3,15,6,cast,healing,1,0,100,allallies,0.1
effect,healing,0,1,1.5,1,,light,,,,,,
spell,22,Cure,Cure a single ally,1,5,2,cast,healing,1,0,100,ally,1
effect,statuseffect,0,-1,-1,1,,light,,,,,,
spell,23,Cure Party,Cure all party members,3,25,5,cast,healing,1,0,100,allallies,0.1
effect,statuseffect,0,1,-1,1,,light,,,,,,
spell,24,Rejuvenate,Heal and cure one party member.,2,10,5,cast,healing,1,0,100,ally,1
effect,healing,0,1,2,1,,light,,,,,,
effect,statuseffect,0,-1,-1,1,,light,,,,,,
spell,25,Restoration,Heal and cure all party members,3,100,20,cast,healing,1,0,100,allallies,0.1
effect,healing,0,1.5,3,1,,light,,,,,,
effect,statuseffect,0,-1,-1,1,,light,,,,,,
spell,26,First Aid,Minor healing on an allly.,1,10,3,cast,healing,0.5,0,100,ally,1
effect,healing,0,0.5,0.5,1,,light,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Utility,,,,,,,,,,,,,
