header itemtypesettings,Id,GenSameStatPercent,GenSameStatBonusPct,GenGlobalScalingPercent,,,,,,,,,,
itemtypesettings,default,20,0,10,,,,,,,,,,
header itemtype,IdKey,Name,Desc,AtlasPrefix,Icon,Art,Armor,Resist,MinDam,MaxDam,EquipSlotId,IconCount,Flags,NameString
header effect,EntityTypeId,EntityId,Quantity,,,,,,,,,,,
itemtype,1,Helm,,,Helmet,Helmet,3,0,0,0,head,3,0,Helm;Helmet;Cap;Crown;Hat;Circlet;Hood;Mask;Turban;Halo;Cover;Veil;Cowl;Coif;Headdress
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
itemtype,2,Shoulder,,,Shoulders,Shoulders,2,0,0,0,shoulder,3,0,Shoulderguards;Pauldrons;Shoulders;Spaulders;Mantle;Amice;Pads;Epaulets
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
itemtype,3,Chest,,,Chest,Chest,5,0,0,0,torso,3,0,Robe;Vestments;Chainmail;Plate;Breastplate;Tunic;Hauberk;Jerkin;Chest;Chestguard;Vest;Chestpiece
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
itemtype,5,Gloves,,,Gloves,Gloves,3,0,0,0,hands,3,0,Gloves;Gauntlets;Wristguards
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
itemtype,4,Bracers,,,Bracers,Bracers,1,0,0,0,wrists,3,0,Bracer;Bracers;Wristguards;Bindings;Wraps;Wrists;Vambraces
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
itemtype,6,Belt,,,Belt,Belt,1,0,0,0,waist,3,0,Belt;Cord;Waistguard;Sash;Girdle
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
itemtype,7,Pants,,,Pants,Pants,4,0,0,0,legs,3,0,Pants;Leggings;Legguards;Leggings;Legplates;Trousers
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
itemtype,8,Boots,,,Boots,Boots,3,0,0,0,feet,3,0,Boots;Shoes;Slippers;Sabatons;Sandals;Greaves;Footwraps
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
itemtype,9,Cloak,,,Cloak,Cloak,2,0,0,0,back,3,0,Cloak;Cape;Drape;Hide;Veil
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
itemtype,10,Necklace,,,Necklace,Necklace,0,4,0,0,neck,3,0,Necklace;Choker;Chain;Amulet;Pendant;Talisman;Collar;Medallion
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
itemtype,11,Ring,,,Ring,Ring,0,2,0,0,leftfinger,3,0,Ring;Band;Circle;Hoop;Loop
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
itemtype,12,Trinket,,,Jewelry,Jewelry,0,2,0,0,jewelry1,3,0,Trinket;Gem;Book;Talisman;Insignia;Medal;Mark;Badge;Brooch;Charm;Shard;Crystal;Rune;Scarab;Memento;Bauble;Gizmo
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
itemtype,13,Sword,,,Sword,Sword,0,0,1,9,mainhand,3,0,Sword;Blade;Longsword;Warblade;Slicer;Reaver;Sabre
effect,rolescaling,melee,100,,,,,,,,,,,
effect,rolescaling,spelldam,40,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
itemtype,14,Axe,,,Axe,Axe,0,0,2,8,mainhand,3,0,Axe;Chopper;Destroyer;Hacker;Scythe
effect,rolescaling,melee,100,,,,,,,,,,,
effect,rolescaling,spelldam,20,,,,,,,,,,,
effect,rolescaling,healing,20,,,,,,,,,,,
effect,rolescaling,ranged,20,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
itemtype,15,Mace,,,Mace,Mace,0,0,3,7,mainhand,3,0,Mace;Hammer;Maul;Smasher;Warhammer;Rod;Scepter;Basher;Bludgeon;Crusher;Shillellagh
effect,rolescaling,melee,100,,,,,,,,,,,
effect,rolescaling,healing,50,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
itemtype,16,Spear,,,Spear,Spear,0,0,1,7,mainhand,3,0,Spear;Poker
effect,rolescaling,melee,100,,,,,,,,,,,
effect,rolescaling,ranged,50,,,,,,,,,,,
,,,,,,,,,,,,,,
