header leveltrackreward,IdKey,Exp,Name,EntityTypeId,EntityId,Quantity,Icon,Art,Desc
leveltrackreward,1,0,,,,,,,
leveltrackreward,2,10,,basetraderstat,coins storage,900,,,
leveltrackreward,3,20,,basetraderstat,coins regen,50,,,
leveltrackreward,4,30,,basetraderstat,supplies storage,80,,,
leveltrackreward,5,40,,basetraderstat,supplies regen,6,,,
leveltrackreward,6,50,,animal,pony,1,,,
leveltrackreward,7,60,,basetraderstat,guards,3,,,
leveltrackreward,8,70,,basetraderstat,mana storage,50,,,
leveltrackreward,9,80,,basetraderstat,mana regen,5,,,
leveltrackreward,10,90,,animal,mule,1,,,
leveltrackreward,11,100,,basetraderstat,coins storage,1000,,,
leveltrackreward,12,110,,basetraderstat,coins regen,60,,,
leveltrackreward,13,120,,basetraderstat,supplies storage,90,,,
leveltrackreward,14,130,,basetraderstat,supplies regen,7,,,
leveltrackreward,15,140,,basetraderstat,guards,4,,,
leveltrackreward,16,150,,basetraderstat,mana storage,60,,,
leveltrackreward,17,160,,basetraderstat,mana regen,6,,,
leveltrackreward,18,170,,basetraderstat,caravan animals,2,,,
leveltrackreward,19,180,,basetraderstat,holdings animals,3,,,
leveltrackreward,20,190,,basetraderstat,holdings tradegoods,5,,,
leveltrackreward,21,200,,basetraderstat,foraging,2,,,
leveltrackreward,22,210,,,,,,,
leveltrackreward,23,220,,,,,,,
leveltrackreward,24,230,,,,,,,
leveltrackreward,25,240,,,,,,,
leveltrackreward,26,250,,,,,,,
leveltrackreward,27,260,,,,,,,
leveltrackreward,28,270,,,,,,,
leveltrackreward,29,280,,,,,,,
leveltrackreward,30,290,,,,,,,
leveltrackreward,31,300,,,,,,,
leveltrackreward,32,310,,,,,,,
leveltrackreward,33,320,,,,,,,
leveltrackreward,34,330,,,,,,,
leveltrackreward,35,340,,,,,,,
leveltrackreward,36,350,,,,,,,
leveltrackreward,37,360,,,,,,,
leveltrackreward,38,370,,,,,,,
leveltrackreward,39,380,,,,,,,
leveltrackreward,40,390,,,,,,,
leveltrackreward,41,400,,,,,,,
leveltrackreward,42,410,,,,,,,
leveltrackreward,43,420,,,,,,,
leveltrackreward,44,430,,,,,,,
leveltrackreward,45,440,,,,,,,
leveltrackreward,46,450,,,,,,,
leveltrackreward,47,460,,,,,,,
leveltrackreward,48,470,,,,,,,
leveltrackreward,49,480,,,,,,,
leveltrackreward,50,490,,,,,,,
leveltrackreward,51,500,,,,,,,
leveltrackreward,52,510,,,,,,,
leveltrackreward,53,520,,,,,,,
leveltrackreward,54,530,,,,,,,
leveltrackreward,55,540,,,,,,,
leveltrackreward,56,550,,,,,,,
leveltrackreward,57,560,,,,,,,
leveltrackreward,58,570,,,,,,,
leveltrackreward,59,580,,,,,,,
leveltrackreward,60,590,,,,,,,
leveltrackreward,61,600,,,,,,,
leveltrackreward,62,610,,,,,,,
leveltrackreward,63,620,,,,,,,
leveltrackreward,64,630,,,,,,,
leveltrackreward,65,640,,,,,,,
leveltrackreward,66,650,,,,,,,
leveltrackreward,67,660,,,,,,,
leveltrackreward,68,670,,,,,,,
leveltrackreward,69,680,,,,,,,
leveltrackreward,70,690,,,,,,,
leveltrackreward,71,700,,,,,,,
leveltrackreward,72,710,,,,,,,
leveltrackreward,73,720,,,,,,,
leveltrackreward,74,730,,,,,,,
leveltrackreward,75,740,,,,,,,
leveltrackreward,76,750,,,,,,,
leveltrackreward,77,760,,,,,,,
leveltrackreward,78,770,,,,,,,
leveltrackreward,79,780,,,,,,,
leveltrackreward,80,790,,,,,,,
leveltrackreward,81,800,,,,,,,
leveltrackreward,82,810,,,,,,,
leveltrackreward,83,820,,,,,,,
leveltrackreward,84,830,,,,,,,
leveltrackreward,85,840,,,,,,,
leveltrackreward,86,850,,,,,,,
leveltrackreward,87,860,,,,,,,
leveltrackreward,88,870,,,,,,,
leveltrackreward,89,880,,,,,,,
leveltrackreward,90,890,,,,,,,
leveltrackreward,91,900,,,,,,,
leveltrackreward,92,910,,,,,,,
leveltrackreward,93,920,,,,,,,
leveltrackreward,94,930,,,,,,,
leveltrackreward,95,940,,,,,,,
leveltrackreward,96,950,,,,,,,
leveltrackreward,97,960,,,,,,,
leveltrackreward,98,970,,,,,,,
leveltrackreward,99,980,,,,,,,
