header lootranksettings,Id,LevelsPerQuality,ExtraQualityChance,ArmorChance,
header lootrank,IdKey,Name,DefenseScale,DamageScale,CostScale
lootranksettings,default,5,0.25,0.8,
lootrank,1,,1,1,1
lootrank,2,Copper,1.25,1.25,2
lootrank,3,Brass,1.5,1.5,3
lootrank,4,Bronze,1.75,2,4
lootrank,5,Jade,2,2.5,5
lootrank,6,Iron,2.25,3,6
lootrank,7,Steel,3,3.5,7.5
lootrank,8,Silver,3.5,4,10
lootrank,9,Gold,4,5,12.5
lootrank,10,Platinum,5,6,15
lootrank,11,Mithril,6,7,20
lootrank,12,Adamantite,7,8,25
lootrank,13,Ruby,8,9,30
lootrank,14,Emerald,9,10,40
lootrank,15,Sapphire,10,11,50
lootrank,16,Diamond,11,12,75
lootrank,17,Obsidian,12,13,100
