header newplayerbonus,IdKey,EntityTypeId,EntityId,Quantity
newplayerbonus,1,basecurrencystorage,coins,800
newplayerbonus,2,basecurrencyregen,coins,80
newplayerbonus,3,basecurrencystorage,supplies,50
newplayerbonus,4,basecurrencyregen,supplies,5
newplayerbonus,5,basecurrencystorage,mana,40
newplayerbonus,6,basecurrencyregen,mana,4
newplayerbonus,7,basecurrencystorage,rations,60
newplayerbonus,8,basecurrencyregen,rations,6
newplayerbonus,9,animal,mule,1
newplayerbonus,10,animal,donkey,1
newplayerbonus,11,basegameplaystat,foraging,1
newplayerbonus,12,corecurrency,coins,800
newplayerbonus,13,corecurrency,supplies,50
newplayerbonus,14,corecurrency,mana,40
newplayerbonus,15,corecurrency,rations,120
