header road,IdKey,StartCityId,EndCityId,StartCityName,EndCityName,Name,Icon,Art,Maintenance,Difficulty,Danger,Length,SummerHeat,SummerRain,WinterHeat,WinterRain,Desc
road,1,1,64,Rome,Brindisi,Via Appia,Road,Road,5,2,2,545,4,1,3,4,"The 'Queen of Roads', this vital artery connects Rome to the southern ports of Italy, paved with large stones and lined with tombs."
road,2,1,61,Rome,Milan,Via Flaminia & Aemilia,Road,Road,5,2,2,580,4,2,2,4,"A major route heading north from Rome, crossing the Apennines and traversing the flat, fertile Po Valley."
road,3,1,30,Rome,Ravenna,Via Flaminia Minor,Road,Road,4,2,2,400,4,2,2,4,A branch of the Via Flaminia leading to the strategic Adriatic port of Ravenna.
road,4,1,17,Rome,Syracuse,Via Popilia & Rhegium Ferry Path,Road,Road,4,3,3,710,5,1,3,4,"The land route through southern Italy to the Strait of Messina, the primary path to the crucial province of Sicily."
road,5,61,31,Milan,Aquileia,Via Postumia,Road,Road,4,2,2,415,4,3,2,4,"A major road across northern Italy, connecting the administrative center of Milan with the great northern port of Aquileia."
road,6,61,23,Milan,Lyon,Passage of the Alps,Road,Road,3,5,4,550,3,4,0,6,"A treacherous and winding series of passes through the high Alps, connecting Italy to Gaul. Often impassable due to snow in winter."
road,7,23,11,Lyon,Marseille,Via Agrippa,Road,Road,5,2,2,315,4,2,2,3,"The main artery connecting the capital of Gaul, Lugdunum, to the ancient Mediterranean port of Massilia."
road,8,23,62,Lyon,Bordeaux,Gallic Aquitania Road,Road,Road,4,2,3,560,4,3,2,4,"A major route across Gaul, linking the Rhone valley to the Atlantic coast and the wine-producing region of Burdigala."
road,9,23,24,Lyon,Paris,Via Agrippa Lingonum,Road,Road,4,2,2,465,3,3,2,4,The primary Roman road heading north from Lugdunum towards the Seine and the northern Gallic interior.
road,10,24,25,Paris,Trier,Gallic Belgica Road,Road,Road,4,3,3,430,3,4,1,4,"A route through the dense forests of northern Gaul, connecting the Seine basin to the Rhine frontier and the imperial city of Trier."
road,11,23,25,Lyon,Trier,Eastern Gallic Network,Road,Road,4,3,3,540,3,4,1,4,A strategic military road linking the capital of Gaul directly with the frontier capital on the Moselle River.
road,12,25,26,Trier,Cologne,Mosel & Rhine Valley Road,Road,Road,4,2,3,200,3,4,1,4,"A vital road along the rivers, linking two of the most important Roman cities in Germania and supporting the Rhine frontier."
road,13,24,22,Paris,London,Fretum Gallicum Trail,Road,Road,3,2,3,460,3,4,2,5,"The combined land and sea route connecting Gaul to Britannia, crossing the choppy waters of the English Channel."
road,14,22,63,London,York,Ermine Street,Road,Road,4,2,3,340,3,4,2,4,"A major Roman road in Britain, running north from the port of Londinium to the legionary fortress of Eburacum."
road,15,11,28,Marseille,Tarragona,Via Domitia,Road,Road,5,2,2,510,5,1,3,3,"The first Roman road built in Gaul, linking Italy to Hispania along the sunny Mediterranean coast."
road,16,28,29,Tarragona,Mérida,Central Hispanian Road,Road,Road,4,3,3,890,5,2,3,3,"A long road crossing the high, arid plains of central Hispania, connecting the coast to the grand veteran's colony of Emerita Augusta."
road,17,29,10,Mérida,Cadiz,Via Augusta (South),Road,Road,5,2,2,390,5,2,3,4,"The southern leg of the great road that followed the Spanish coast, linking the interior to the rich ports of Baetica."
road,18,29,27,Mérida,Cordoba,Corduba Connector,Road,Road,4,2,2,205,6,2,3,4,"A well-travelled road through southern Hispania, linking the administrative center of Mérida to the olive oil capital of Corduba."
road,19,27,28,Cordoba,Tarragona,Hispanian Interior Road,Road,Road,4,3,3,815,5,2,3,3,An inland route connecting the rich agricultural lands of Baetica with the major port and capital of Tarraco on the eastern coast.
road,20,29,62,Mérida,Bordeaux,Via de la Plata & Pyrenees Path,Road,Road,3,4,4,910,4,3,2,4,The 'Silver Route' heading north through western Hispania and crossing the rugged Pyrenees mountains into Gaul.
road,21,51,65,Volubilis,Tangier,Mauretanian Coastal Road,Road,Road,3,2,3,280,4,2,3,4,The road connecting the inland capital of Volubilis to the strategic port of Tingis on the Strait of Gibraltar.
road,22,31,71,Aquileia,Solin,Dalmatian Coastal Road,Road,Road,4,3,3,425,4,2,3,5,"A winding coastal road along the rugged Adriatic, connecting Italy to the province of Dalmatia."
road,23,71,70,Solin,Plovdiv,Via Militaris,Road,Road,4,4,4,700,4,3,2,4,"A leg of the great military road to the East, crossing the difficult terrain of the Balkan interior."
road,24,70,9,Plovdiv,Istanbul,Via Militaris,Road,Road,5,2,3,240,4,2,2,4,"The final, well-maintained stretch of the military road, descending from the Thracian plains to the strategic city of Byzantium."
road,25,64,9,Brindisi,Istanbul,Via Egnatia,Road,Road,5,4,4,1120,4,2,2,5,"The great Roman road linking the Adriatic to Byzantium, crossing the mountainous regions of Macedonia and Thrace."
road,26,2,9,Athens,Istanbul,Via Egnatia (South Branch),Road,Road,3,4,4,1080,5,1,2,4,A secondary route linking the classical heartland of Athens to the main Via Egnatia and the road to the East.
road,27,9,13,Istanbul,Ephesus,Anatolian Coastal Road,Road,Road,4,3,3,670,4,1,3,4,"A major road connecting the capital on the Bosphorus to the wealthy cities of western Anatolia, including the port of Ephesus."
road,28,9,68,Istanbul,Artaxata,Northern Anatolian Route,Road,Road,3,5,5,1750,3,3,0,4,"A difficult and dangerous road crossing the high, cold plateau of northern Anatolia towards the mountainous kingdom of Armenia."
road,29,13,34,Ephesus,Pergamon,Ionian Road,Road,Road,4,2,2,160,4,1,3,4,A short but important road connecting two of the greatest Hellenistic cities in western Anatolia.
road,30,13,37,Ephesus,Sardis,Lydian Royal Road,Road,Road,4,2,2,100,4,1,3,4,"A stretch of the ancient Persian Royal Road, linking the coast at Ephesus to the old Lydian capital of Sardis."
