header rolescalingtypesettings,Id,DefaultScalingPercent,,
rolescalingtypesettings,default,100,,
header rolescalingtype,Idkey,Name,ScalingStatTypeId,Desc
rolescalingtype,1,Melee,strength,Increases Melee attacks per level.
rolescalingtype,2,Ranged,agility,Increases Ranged Attacks per level.
rolescalingtype,3,SpellDam,intellect,Increases attack spell damage per level.
rolescalingtype,4,Healing,devotion,Increases healing per level.
rolescalingtype,5,Summon,leadership,Increases the power of summoned creatures.
rolescalingtype,6,Divination,luck,Gives knowledge about the world.
rolescalingtype,7,Defense,stamina,Gives a chance to lessen or ignore damage.
rolescalingtype,8,Mobility,willpower,Allows you to move around the world better.
