,,Fighter,Hunter,Mage,Cleric,Skirmisher,Paladin,Spellblade,Ranger,Warden,Sage,Warchief,Beastmaster,Conjurer,Zealot,Human,Elf,Dwarf,Half-Orc,Gnome,Halfling,Lizardman
Idkey,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,100,101,102,103,104,105,106
Abbrev,,Fi,Hu,Ma,Cl,Sk,Pa,Sp,Ra,Wa,Sa,Wc,Bm,Co,Zl,Hu,El,Dw,Hc,Gn,Hf,Lz
,,Fi,Hu,Ma,Cl,Fi/Hu,Fi/Cl,Fi/Ma,Hu/Ma,Hu/Cl,Ma/Cl,Wc,Bm,Co,Zl,,,,,,,
Desc,,Melee Fighter and Tank,Master of ranged combat and striking from the shadows.,Can cause massive spell damage.,A very good healer.,"A Fighter who is also skilled in ranged combat, and combat tricks.",A fighter who can also heal.,A fighter who can also fling a nasty fireball.,A ranged combat fighter who can also cast offensive magic.,A guardian of the wilds.,A master of all forms of magic.,A fighter that can summon other fighters.,A hunter that can summon beasts.,A wizard that can summon elementals.,A cleric that can summon fanatical followers.,They make better leaders.,They can shoot arrows with a precision unmatched by any other race.,They are harder to kill than anyone else.,They bring a ferocity to close-quarters that no other race can approach.,They are more attuned to destructive magic than anyone else.,They are a lucky race that can better see how to find a lethal weakness in enemies.,Their lives deep in the jungle have attuned them to healing methods better than others. 
RoleCategoryId,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2
HealthPerLevel,,12,10,6,8,11,10,9,8,9,7,10,8,4,6,0,0,5,0,0,0,0
ManaPerLevel,,6,8,12,10,7,8,9,8,9,11,4,6,10,8,0,0,0,0,0,0,0
StartSkillPoints,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
StartUpgradePoints,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
TrainingXpScale,,1,1.1,1.3,1.2,1.2,1.3,1.4,1.5,1.4,1.6,1.1,1.2,1.4,1.3,0,0,0,0,0,0,0
TrainingGoldScale,,1,1.1,1.3,1.2,1.2,1.3,1.4,1.5,1.4,1.6,1.1,1.2,1.4,1.3,0,0,0,0,0,0,0
Guardian,,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
MeleeScaling,,0.3,0.2,0.1,0.1,0.25,0.2,0.2,0.15,0.15,0.1,0.25,0.15,0.1,0.1,0,0,0,0.05,0,0,0
RangedScaling,,0.2,0.3,0.1,0.1,0.25,0.15,0.15,0.2,0.2,0.1,0.15,0.25,0.1,0.1,0,0.05,0,0,0,0,0
SpellDamScaling,,0.1,0.1,0.3,0.2,0.1,0.2,0.2,0.2,0.2,0.25,0.1,0.1,0.25,0.15,0,0,0,0,0.05,0,0
HealingScaling,,0.1,0.1,0.2,0.3,0.1,0.15,0.15,0.15,0.15,0.25,0.1,0.1,0.15,0.25,0,0,0,0,0,0,0.05
,,,,,,,,,,,,,,,,,,,,,,
SummonScaling,,0,0.1,0,0.1,0.05,0.05,0,0.05,0.1,0.05,0.1,0.2,0.1,0.2,0.05,0,0,0,0,0,0
DivinationScaling,,0,0,0.1,0.1,0,0.05,0.05,0.05,0.05,0.1,0,0,0.1,0.1,0,0,0,0,0,0,0
DefenseScaling,,0.2,0,0,0,0.1,0.1,0.1,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0
MobilityScaling,,0,0.1,0.1,0,0.05,0,0.05,0.1,0.05,0.05,0,0.1,0.1,0,0,0,0,0,0,0,0
,,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,,,,,,,
CritPercent,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
MaxArmorScalingTypeId,,4,3,1,1,4,3,2,3,4,3,4,3,1,1,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
