header traderbuff,IdKey,Name,Icon,Art
header buffeffect,EntityTypeId,EntityId,Quantity,
traderbuff,1,Lucky,Lucky,Lucky
buffeffect,traderstatbuff,good luck,5,
traderbuff,2,Speedy,Speedy,Speedy
buffeffect,traderstatbuff,caravan bonus speed,2,
traderbuff,3,Well Fed,WellFed,WellFed
buffeffect,traderstatbuff,rations cost,-1,
traderbuff,4,Working Out,WorkingOut,WorkingOut
buffeffect,traderstatbuff,Caravan Capacity,1,
traderbuff,5,Forager,Forager,Forager
buffeffect,traderstatbuff,Foraging,5,
traderbuff,6,Surplus Rations,SurplusRations,SurplusRations
buffefffect,traderstatbuff,Rations Regen,2,
traderbuff,7,Surplus Supplies,SurplusSupplies,SurplusSupplies
buffeffect,traderstatbuff,Supplies Regen,1,
traderbuff,8,Surplus Mana,SurplusMana,SurplusMana
buffeffect,traderstatbuff,Mana Regen,1,
