header gameplaydebuff,IdKey,Name,Icon,Art,CleanseCoreCurrencyTypeId,CleanseQuantity,CityCoinsCleanseCost
header debuffeffect,EntityTypeId,EntityId,Quantity,,,,
gameplaydebuff,1,Unlucky,Unlucky,Unlucky,mana,2,20
debuffeffect,gameplaystatbuff,bad luck,5,,,,
gameplaydebuff,2,Slowed,Slowed,Slowed,supplies,1,40
debuffeffect,gameplaystatbuff,caravan bonus speed,-1,,,,
gameplaydebuff,3,Hungry,Hungry,Hungry,rations,2,10
debuffeffect,gameplaystatbuff,rations cost,1,,,,
gameplaydebuff,4,Broken Down,BrokenDown,BrokenDown,supplies,2,25
debuffeffect,gameplaystatbuff,caravan bonus speed,-1,,,,
debuffeffect,gameplaystatbuff,caravan capacity,-1,,,,
gameplaydebuff,5,Sickly,Sickly,Sickly,rations,1,15
debuffeffect,gameplaystatbuff,caravan capacity,-1,,,,
gameplaydebuff,6,Magic Void,MagicVoid,MagicVoid,mana,1,35
debuffeffect,bonuscurrencyregen,mana,-2,,,,
gameplaydebuff,7,Cursed,Cursed,Cursed,mana,1,50
debuffeffect,gameplaystatbuff,bad luck,5,,,,
debuffeffect,gameplaystatbuff,good luck,-5,,,,
